created,text,retwc,hashtag,followers,friends
10/28/2019 7:54,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,15,900
10/28/2019 7:52,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,43,317
10/28/2019 7:51,"b""Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\xe2\x80\xa6 https://t.co/GHgVJLEa29""",25,None,4599239,49
10/28/2019 7:40,"b'RT @ANI: Union Minister Ravi Shankar Prasad: We will go to meet the Governor, and request him to invite us to form the government. #Haryana\xe2\x80\xa6'",55,None,46,46
10/28/2019 7:38,b'#HaryanaAssemblyPolls for #JJP is family Project which they called in the name of #Jat pride #JJProject &amp; they chea\xe2\x80\xa6 https://t.co/s600Ai9rlx',0,HaryanaAssemblyPolls,85,414
10/28/2019 7:37,b'Manohar Lal Khattar takes oath as Haryana CM for 2nd term with Dushyant Chautala as Deputy\n#ManoharLalKhattar\xe2\x80\xa6 https://t.co/hUmIrDJjlX',1,ManoharLalKhattar,19255,15
10/28/2019 7:35,b'It was seeming that #MaharashtraAssemblyElections government formation will be a cakewalk for the #BJP than\xe2\x80\xa6 https://t.co/W0goNCdzaT',0,MaharashtraAssemblyElections,427,433
10/28/2019 6:59,b'RT @BJPSanjayJoshi: I extend my best wishes to @mlkhattar and @Dchautala for forming the government in Haryana. The state shall progress by\xe2\x80\xa6',34,None,378,447
10/28/2019 6:56,"b""It's time a law was made in India to ensure that any 2 or more parties that have fought a poll against one another\xe2\x80\xa6 https://t.co/T99NR960qz""",0,None,29,195
10/28/2019 6:47,"b""RT @ndtv: Dushyant Chautala's party disrespected people's mandate: Congress\xe2\x80\x99 Bhupinder Singh Hooda https://t.co/CoEG7sv2sB\n\n#HaryanaAssembl\xe2\x80\xa6""",10,None,71,210
10/28/2019 6:43,b'RT @naukshambjp: Vote for BJP \n#HaryanaAssemblyPolls \n#naukshambjp \n@BJP4Haryana https://t.co/eI2uz38yQl',3,HaryanaAssemblyPolls,1455,135
10/28/2019 6:40,b'#HaryanaAssemblyElections2019 #HaryanaAssemblyPolls just an effort to pay off. https://t.co/ubs3rMkfvi',0,HaryanaAssemblyElections2019,119,579
10/28/2019 6:35,b'Manohar Lal Khattar takes oath as Haryana CM for 2nd term\nhttps://t.co/dlnXWo5xKp\n#HaryanaElections2019\xe2\x80\xa6 https://t.co/beqvMCfd6E',0,HaryanaElections2019,517,69
10/28/2019 6:28,"b'RT @ANI: Chandigarh: Dushyant Chautala takes oath as the Deputy Chief Minister of Haryana, at the Raj Bhawan. #HaryanaAssemblyPolls https:/\xe2\x80\xa6'",37,HaryanaAssemblyPolls,1091,970
10/28/2019 6:24,"b""RT @Sheilza29: Still coming to terms with the fact that Gopal Kanda was voter's choice.#HaryanaAssemblyPolls #HaryanaElections2019""",4,HaryanaAssemblyPolls,42,17
10/28/2019 6:08,b'RT @AnuppandeyPpp: This is also a speculation!\n#HaryanaAssemblyPolls https://t.co/TbAYYpOfhI',2,HaryanaAssemblyPolls,1102,1360
10/28/2019 6:05,b'RT @AnuppandeyPpp: This is also a speculation!\n#HaryanaAssemblyPolls https://t.co/TbAYYpOfhI',2,HaryanaAssemblyPolls,8594,8510
10/28/2019 6:02,"b'RT @timesofindia: Home Minister and BJP President, Amit Shah: Accepting the mandate by the people of Haryana, leaders of both parties (BJP-\xe2\x80\xa6'",28,None,8594,8510
10/28/2019 6:00,b'@zoo_bear @geeta_phogat @KirenRijiju Cc @BabitaPhogat #HaryanaAssemblyPolls \nThank You #HaryanaAssemblyElections2019',0,HaryanaAssemblyPolls,332,208
